SL No.,Ayurveda Term,Sentence where it appears,Classification
557,Kapha,"Persons unsuitable for oleation – Asnehya – Sneha Ayogya 
Oleation therapy should not be administered to such of the patients who 
are 
eligible for Rukshana(drying therapy) 
to those in whom Kapha and Medas (fat) are aggravated, 
those with Kapha symptoms like excess mucus secretion from mouth and 
anus, 
those whose power of digestion is continuously weak or very strong 
digestive power 
those suffering from thirst and fainting, the pregnant women, 
those with dry palate, obsese, stiffness of thighs, anorexia 
those having aversion to food, those suffering from vomiting, diarrhoea, 
dysentery 
abdominal diseases,diseases due to improper digestion as well as 
metabolism, 
those afflicted  with Gara type of poison (chronic diet-poison), excessive 
thirst 
Ama condition, altered metabolism, diseases of throat, diseases of Kapha 
imbalance 
the weak, emaciated, those having aversion to the intake of unctuous 
substances, fainting, loss of consciousness 
those intoxicated and those being administered inhalation and enema 
therapies.",Symptom
558,Pitta,"Time in the day, to administer fats – Snehapana Kala 
In case of Vata and Pitta imbalance, oleation therapy should be 
administered in the evening.",Symptom
559,Vata,"Time in the day, to administer fats – Snehapana Kala 
In case of Vata and Pitta imbalance, oleation therapy should be 
administered in the evening.",Symptom
560,Kapha,"When the Kapha is vitiated it is administered in mid-day 
Oil may be used in emergency even in cold season.",Symptom
561,Pitta,"In diseases produced by increased Pitta and Vata and in their combination 
with predominance of Pitta – ghee should be used only at nights, during 
summer.",Symptom
562,Vata,"In diseases produced by increased Pitta and Vata and in their combination 
with predominance of Pitta – ghee should be used only at nights, during 
summer.",Symptom
563,Pitta,"Otherwise, diseases due to Vata and Kapha arise if fats are used at nights 
and diseases of Pitta if used during day.",Symptom
564,Vata,"Otherwise, diseases due to Vata and Kapha arise if fats are used at nights 
and diseases of Pitta if used during day.",Symptom
565,Kapha,"Otherwise, diseases due to Vata and Kapha arise if fats are used at nights 
and diseases of Pitta if used during day.",Symptom
566,Pitta,"Complications of untimely administration of fats:- 
If oleation therapy is administered during the day time in summer or to 
patients suffering from diseases dominated by the vitiation of Vata or Pitta, 
this may cause fainting, thirst, insanity or jaundice.",Symptom
567,Vata,"Complications of untimely administration of fats:- 
If oleation therapy is administered during the day time in summer or to 
patients suffering from diseases dominated by the vitiation of Vata or Pitta, 
this may cause fainting, thirst, insanity or jaundice.",Symptom
568,Kapha,"Dr JV Hebbar – easyayurveda.com – Charaka Samhita Sutrasthana Made Easy 
Page 487 
 
If one suffering from diseases of Kapha imbalance or from a disease during 
the course of the winter, if he is administered with oleation during evening, 
he will suffer from anaha (bloathing), anorexia (aruchi), colic pain and 
anemia.",Symptom
569,Vata,"Indication for moderate dose of fats and oils (which digests in 12 
hours) 
Those suffering from eruptions, boils, pimples, itching, papules, spreading 
type of skin disease, chronic urinary disorders and gout (Vatarakta); those 
who cannot eat much, those who are of laxed bowels and those with 
moderate strength are advised with fats and oils of moderate dose.",Symptom
570,Rakta,"Indication for moderate dose of fats and oils (which digests in 12 
hours) 
Those suffering from eruptions, boils, pimples, itching, papules, spreading 
type of skin disease, chronic urinary disorders and gout (Vatarakta); those 
who cannot eat much, those who are of laxed bowels and those with 
moderate strength are advised with fats and oils of moderate dose.",Ingredient
571,Pitta,"Mrudu Koshta – influenced by Pitta Dosha 
Madhyama Koshta – influenced by all three balance state of Dosha 
Kroora Koshta – influenced by Vata  & Kapha Dosha.",Symptom
572,Vata,"Mrudu Koshta – influenced by Pitta Dosha 
Madhyama Koshta – influenced by all three balance state of Dosha 
Kroora Koshta – influenced by Vata  & Kapha Dosha.",Symptom
573,Kapha,"Mrudu Koshta – influenced by Pitta Dosha 
Madhyama Koshta – influenced by all three balance state of Dosha 
Kroora Koshta – influenced by Vata  & Kapha Dosha.",Symptom
574,Vata,"But these can not produce purgative effect for those with Krura Koshta 
(costive bowel)  because their intestine is too much dominated by Vata.",Symptom
575,Vata,"Signs of oleation – Snigdha Lakshana  
Vatanulomana – Downward movement of Vata, 
Deepto agni –  keen digestive activity, 
Vachaha snigdham asamhatam – faeces becoming fatty and non formed 
not solid, Snehodvega – aversion to fat, 
Klama – exhaustion 
Evacuation of the flatus, good digestive power, untucous and soft stool, 
tenderness and smoothness of the body- these are the signs of proper 
oleation.",Symptom
576,Pitta,"Unctuous substances taken by a person with Pitta imbalance in duodenum 
and having strong digestive power, gets digested  quickly by virtue of the 
power of the digestive fire.",Symptom
577,Triphala,"Complications arising out of the 
inappropriate oleation may also be neutralized by the intake of Takrarista 
(Charaka  Chikitsa 14:72-75), unctuous drink and food, cow 
urine, Triphala Choorna  
The oleation therapy gives rise to many complications, if it is administered 
at inappropriate times or is not taken in the proper dose or taken in excess 
or (even if taken properly but) followed by improper regimen.",Treatment
578,Triphala,"These are some of the techniques adopted: 
Kshut, Trushna – Producing hunger, thirst, 
Ulleka, sveda – vomiting and perspiration, Dr JV Hebbar – easyayurveda.com – Charaka Samhita Sutrasthana Made Easy 
Page 496 
 
administering foods, drinks and medicines which are dry (cause dryness), 
use of  Khala – menu prepared from curds, Yava (barley), Pippali (long 
pepper), Triphala, Ksaudra (honey), Pathya (haritaki), Gomutra – cow 
urine, Guggulu and such others – foods, drugs etc.",Treatment
579,Kapha,"Regimen of Panchakarma followed after Snehana - 
After oleation treatment, till Vamana or Virechana treatment, patient 
should drink juice of meat of animals of desert regions, mixed with fats, 
made liquid – thin and warm, then undergo sweating therapy; 
after three days of such regimen, he should be administered purgation 
therapy, 
In case of Vamana treatment, after a lapse of one day, Kapha should be 
increased by using things like curds, black gram food items like Vada etc.",Symptom
580,Kapha,"Dr JV Hebbar – easyayurveda.com – Charaka Samhita Sutrasthana Made Easy 
Page 497 
 
Dry treatment ahead of Oleation, in high Kapha people: 
Persons who are muscular, fatty, having Kapha imbalance, and erratic type 
of digestive activity, who are accustomed to fats and who need oleation 
therapy, should be made to become dry first – by use of Trphala, cow 
urine, Takrarishta etc.",Symptom
581,Diabetes,"Contra indication for certain substances in certain diseases – 
For the purpose of Sadya snehana, Jaggery, meat of birds of marshy lands, 
milk, sesame seed, black gram, Sura – beer and Dadhi – curds, yogurt 
should not be used in skin diseases (kushta), inflammatory conditions 
(Shopha) and diabetes (Prameha).",Disease
582,Triphala,"In these conditions, fats boiled with Triphala, Pippali, Haritaki, Guggulu, 
etc., should be used as found suitable, which will not produce 
abnormalities.",Treatment
583,Pitta,"Effect on Tridosha – 
Ghee calms Pitta and Vata.",Symptom
584,Vata,"Effect on Tridosha – 
Ghee calms Pitta and Vata.",Symptom
585,Pitta,"Hence, it is ideal for people with Vata-Pitta 
body type and for those suffering from Vata and Pitta imbalance disorders.",Symptom
586,Vata,"Hence, it is ideal for people with Vata-Pitta 
body type and for those suffering from Vata and Pitta imbalance disorders.",Symptom
587,Pitta,Effect of ghee on digestion strength: Pitta and fire are inter-related.,Symptom
588,Pitta,"Usually, 
the substances that balance Pitta, also cause depletion of digestion fire.",Symptom
589,Pitta,"It balances Pitta Dosha but it increases digestion 
strength.",Symptom
590,Pitta,"Dr JV Hebbar – easyayurveda.com – Charaka Samhita Sutrasthana Made Easy 
Page 502 
 
स्मृततबुद्धध्यन्ननशुक्रौजःकफमेदोवििधघनम्| 
िातवपत्तवििोवमादशोिालक्ष्मीज्िरापहम् ||२३१|| 
सिघस्नेहोत्तमं शीतं मधुरं रसपाकयोः| 
सहस्रिीयं विगधसभर्ृघतं कमघसहस्रकृत्||२३२|| 
मदापस्मारमूच्छाघयशोिोवमादगरज्िरान्| 
योतनकणघसशरःशूलं र्ृतं जीणघमपोहतत||२३३|| 
सपींष्यजावि महहिीिीरित् स्िातन तनहदघशेत्|२३४| 
smṛtibuddhyagniśukraujaḥkaphamedovivardhanam| 
vātapittaviṣonmādaśoṣālakṣmījvarāpaham ||231|| 
sarvasnehottamaṃ śītaṃ madhuraṃ rasapākayoḥ| 
sahasravīryaṃ vidhibhirghṛtaṃ karmasahasrakṛt||232|| 
madāpasmāramūrcchāyaśoṣonmādagarajvarān| 
yonikarṇaśiraḥśūlaṃ ghṛtaṃ jīrṇamapohati||233|| 
sarpīṃṣyajāvi mahiṣīkṣīravat svāni nirdiśet|234| – Charaka Samhita 
Sutrasthana 27 
Cow ghee promotes memory, intellect, power of digestion, semen, Ojas, 
Kapha and fat.",Symptom
591,Kapha,"Dr JV Hebbar – easyayurveda.com – Charaka Samhita Sutrasthana Made Easy 
Page 502 
 
स्मृततबुद्धध्यन्ननशुक्रौजःकफमेदोवििधघनम्| 
िातवपत्तवििोवमादशोिालक्ष्मीज्िरापहम् ||२३१|| 
सिघस्नेहोत्तमं शीतं मधुरं रसपाकयोः| 
सहस्रिीयं विगधसभर्ृघतं कमघसहस्रकृत्||२३२|| 
मदापस्मारमूच्छाघयशोिोवमादगरज्िरान्| 
योतनकणघसशरःशूलं र्ृतं जीणघमपोहतत||२३३|| 
सपींष्यजावि महहिीिीरित् स्िातन तनहदघशेत्|२३४| 
smṛtibuddhyagniśukraujaḥkaphamedovivardhanam| 
vātapittaviṣonmādaśoṣālakṣmījvarāpaham ||231|| 
sarvasnehottamaṃ śītaṃ madhuraṃ rasapākayoḥ| 
sahasravīryaṃ vidhibhirghṛtaṃ karmasahasrakṛt||232|| 
madāpasmāramūrcchāyaśoṣonmādagarajvarān| 
yonikarṇaśiraḥśūlaṃ ghṛtaṃ jīrṇamapohati||233|| 
sarpīṃṣyajāvi mahiṣīkṣīravat svāni nirdiśet|234| – Charaka Samhita 
Sutrasthana 27 
Cow ghee promotes memory, intellect, power of digestion, semen, Ojas, 
Kapha and fat.",Symptom
592,Pitta,"It alleviates Vata, Pitta 
Visha – toxic conditions 
Unmada – insanity, 
Shosha – emaciation 
Alakshmihara – it is auspicious.",Symptom
593,Vata,"It alleviates Vata, Pitta 
Visha – toxic conditions 
Unmada – insanity, 
Shosha – emaciation 
Alakshmihara – it is auspicious.",Symptom
594,Jwara,"Purana Ghrita – One year old cow ghee is useful in 
Mada – intoxication, 
Apasmara – epilepsy, 
Moorcha – fainting, 
Shosha – emaciation 
Unmada – schizophrenia, insanity 
Gara – remnant poisons 
Jwara – fever 
Pain in the ear, head as well as female genital tract.",Disease
595,Triphala,"Especially, Ghee Dr JV Hebbar – easyayurveda.com – Charaka Samhita Sutrasthana Made Easy 
Page 505 
 
processed with Triphala is used for this purpose.",Treatment
596,Triphala,"Ghee along with triphala and honey is told as a remedy to improve eye 
health.Read more 
Ghee is used for application over eyes for strengthening of vision.",Treatment
597,Pitta,"It is 
indicated in Pitta imbalance oral disorders.",Symptom
598,Pitta,"Ghee is used for application over wounds and burns to reduce the heat and 
calm Pitta.",Symptom
599,Vata,"By administering 
ghee through enema, Vata gets balanced, leading to proper nourishment of 
bone tissue.",Symptom
600,Vata,(Bone and Vata are connected).,Symptom
601,Neem,"Hr. Su. 16/8) 
Ghee is mixed with mustard and neem leaves and used for fumigation.",Medical Plant
602,Triphala,"1/670 
Triphala decoction added with ghee and sugar is useful in the treatment of 
anemia.",Treatment
603,Pitta,"(improves liver function)  BR 12/5- 
Ghee home remedy for dry cough 
Ghee and saffron home remedy for migraine 
How to use ghee for skincare 
Ghee remedy for Pitta related cough Dr JV Hebbar – easyayurveda.com – Charaka Samhita Sutrasthana Made Easy 
Page 509 
 
Ghee for allergic rhinitis: 
Before you go out of your house for work, try applying a thin layer of ghee 
to the inner wall of nostril.",Symptom
604,Pitta,"Contra indication: 
During fever 
During Ama 
Unmixed ghee should not be taken in the event of the domination of Pitta 
specially when Pitta is associated with Ama.",Symptom
605,Triphala,"Triphala, Trikatu – are used to cleanse the channels and improve digestion 
strength, if the ghee causes indigestion due to wrong use.",Treatment
606,Vata,"In conditions like tingling of the teeth, weak teeth, and disease of the 
mouth caused by Vata imbalance, water mixed with sesame seed paste is 
held in the mouth for 3 – 5 minutes.",Symptom
607,Pitta,"Sesame calms Vata  and Kapha, slightly increases Pitta.",Symptom
608,Vata,"Sesame calms Vata  and Kapha, slightly increases Pitta.",Symptom
609,Kapha,"Sesame calms Vata  and Kapha, slightly increases Pitta.",Symptom
610,Pitta,"It aggravates Pitta, binds bowel and reduces the quantity 
of urine but it does not aggravate kapha.",Symptom
611,Kapha,"It aggravates Pitta, binds bowel and reduces the quantity 
of urine but it does not aggravate kapha.",Symptom
612,Vata,"It is the best among the 
balances Vata.",Symptom
613,Vata,"It helps to calm Vata, and also to get rid of oil from 
skin.",Symptom
614,Vata,"It is excellent in relieving Vata and 
Kapha disorders.",Symptom
615,Kapha,"It is excellent in relieving Vata and 
Kapha disorders.",Symptom
616,Vata,"Effect on Tridosha: 
Castor oil balances Vata and Kapha Dosha.",Symptom
617,Kapha,"Effect on Tridosha: 
Castor oil balances Vata and Kapha Dosha.",Symptom
618,Pitta,"But when mixed and processed 
with herbs possessing astringent, sweet and bitter tastes, it alleviates pitta 
as well.",Symptom
619,Vata,"Arogyakara – improves health 
Medhakara – improves intelligence 
Kantikara – improves skin glow 
Smrutikara – improves memory 
Balakara – improves immunity 
Adhobhaga Doshahara – expels vitiated Doshas from lower part of the 
body (Virechna) 
Deepana – improves digestion strength 
Vishamajwara – useful in intermittent fever 
Hrudroga – cardiac disorder 
prushta shoola, guhya shoola – useful in low backache 
Vatodara – useful in gas, bloating 
Gulma – abdominal tumor 
Anaha – gaseous distension of abdomen 
Ashtila – prostitis Dr JV Hebbar – easyayurveda.com – Charaka Samhita Sutrasthana Made Easy 
Page 521 
 
Katigraha – low back stiffness 
Vatashonita – gout 
Vid bandha – constipation 
Bradhna – prolapsed rectum 
Shotha – swelling, inflammatory conditions 
Ama Vidradhi – initial stages of abscess, where pus is yet to be formed.",Symptom
620,Jwara,"Arogyakara – improves health 
Medhakara – improves intelligence 
Kantikara – improves skin glow 
Smrutikara – improves memory 
Balakara – improves immunity 
Adhobhaga Doshahara – expels vitiated Doshas from lower part of the 
body (Virechna) 
Deepana – improves digestion strength 
Vishamajwara – useful in intermittent fever 
Hrudroga – cardiac disorder 
prushta shoola, guhya shoola – useful in low backache 
Vatodara – useful in gas, bloating 
Gulma – abdominal tumor 
Anaha – gaseous distension of abdomen 
Ashtila – prostitis Dr JV Hebbar – easyayurveda.com – Charaka Samhita Sutrasthana Made Easy 
Page 521 
 
Katigraha – low back stiffness 
Vatashonita – gout 
Vid bandha – constipation 
Bradhna – prolapsed rectum 
Shotha – swelling, inflammatory conditions 
Ama Vidradhi – initial stages of abscess, where pus is yet to be formed.",Disease
621,Vata,"Amavata – rheumatoid arthritis 
Castor oil is sweet in taste, heavy, increases Kapha and balances  Vata, 
Raktagulma (a type of abdominal tumour specially in females), heart 
disease, indigestion and fever.",Symptom
622,Kapha,"Amavata – rheumatoid arthritis 
Castor oil is sweet in taste, heavy, increases Kapha and balances  Vata, 
Raktagulma (a type of abdominal tumour specially in females), heart 
disease, indigestion and fever.",Symptom
623,Rakta,"Amavata – rheumatoid arthritis 
Castor oil is sweet in taste, heavy, increases Kapha and balances  Vata, 
Raktagulma (a type of abdominal tumour specially in females), heart 
disease, indigestion and fever.",Ingredient
624,Pitta,"In case of Snigdha Virechana (oil purgation), in Pitta disorders involving 
Vata, such as gout, skin disorders with scaling, redness, burning sesnation 
and dryness, in case of rheumatoid arthritis, castor oil is the preferred 
choice.",Symptom
625,Vata,"In case of Snigdha Virechana (oil purgation), in Pitta disorders involving 
Vata, such as gout, skin disorders with scaling, redness, burning sesnation 
and dryness, in case of rheumatoid arthritis, castor oil is the preferred 
choice.",Symptom
626,Pitta,"This helps to expel imbalanced 
Pitta Dosha out of the body.",Symptom
627,Vata,"Vatari ras - used in the treatment of neuritis, arthritis, neuralgia, 
paralysis, facial palsy, spondylosis, gout.",Symptom
628,Vata,"Amavatari ras – used in rheumatoid arthritis and osteo-arthritis 
Simhanada Guggulu – used in  skin condition, abscess, gout, respiratory 
condition, abdominal colic, anemia.",Symptom
629,Vata,"In some cases, Sweating treatment is 
administered as a standalone treatment for diseases of Vata and Kapha 
treatment.",Symptom
630,Kapha,"In some cases, Sweating treatment is 
administered as a standalone treatment for diseases of Vata and Kapha 
treatment.",Symptom
631,Vata,"If properly administered, diseases of Vata and kapha imbalance can surely 
be treated with fomentation.",Symptom
632,Kapha,"If properly administered, diseases of Vata and kapha imbalance can surely 
be treated with fomentation.",Symptom
633,Vata,"if administered after Snehakarma (oleation), 
fomentation brings Vata under control.",Symptom
634,Vata,"In Vata – Kapha imbalance disorder, Snighda-Rooksha sweda is 
administered.",Symptom
635,Kapha,"In Vata – Kapha imbalance disorder, Snighda-Rooksha sweda is 
administered.",Symptom
636,Vata,"In Vata imbalance disorder, Snigdha sweda – oiling type of sweating is 
administered.",Symptom
637,Kapha,"In Kapha imbalance disorder, Rooksha Sweda – dry type of sweating is 
administered.",Symptom
638,Vata,"[7-8] 
Treatment for Vata in Amashaya (Stomach) and Pakvashaya 
(large intestine) 
आमाशयगते िाते कफे पक्तिाशयागश्रते|  
रूिपूिो हहतः स्िेदः स्नेहपूिघस्तथैि च||९|| 
āmāśayagate vāte kaphe pakvāśayāśrite|  
rūkṣapūrvo hitaḥ svedaḥ snehapūrvastathaiva ca||9|| 
If the Vata is accumulated in Amashaya (stomach) then Rooksha sweda 
(dry fomentation) is preferred.",Symptom
639,Kapha,"This is because Amashaya is the site of 
Kapha.",Symptom
640,Vata,"(read more – Kapha Dosha dominant body parts) 
If the Vata is accumulated in Pakwashaya – intestines, then Snigdha Sweda 
(oily fomentation) is preferred.",Symptom
641,Kapha,"(read more – Kapha Dosha dominant body parts) 
If the Vata is accumulated in Pakwashaya – intestines, then Snigdha Sweda 
(oily fomentation) is preferred.",Symptom
642,Vata,"[9] Because Pakwashaya is dominated by 
Vata.",Symptom
643,Pitta,"[13] 
Signs of excessive sweating treatment – Ati Sweda Lakshana 
वपत्तप्रकोपो मूच्छाघ च शरीरसदनं तृिा|  
दाहः स्िराङ्गदौबघल्यमततन्स्िवनस्य लिणम्||१४||  
उक्तस्तस्यासशतीये यो ग्रैन्ष्मकः सिघशो विगधः|  
सोऽततन्स्िवनस्य कतघव्यो मधुरः न्स्ननधशीतलः||१५|| 
pittaprakopo mūrcchā ca śarīrasadanaṃ tṛṣā|  
dāhaḥ svarāṅgadaurbalyamatisvinnasya lakṣaṇam||14||  
uktastasyāśitīye yo graiṣmikaḥ sarvaśo vidhiḥ|  
so'tisvinnasya kartavyo madhuraḥ snigdhaśītalaḥ||15|| Dr JV Hebbar – easyayurveda.com – Charaka Samhita Sutrasthana Made Easy 
Page 532 
 
Aggravation of Pitta, fainting, fatigue, excessive thirst, burning sensation, 
weakness of the voice and limbs – these symptoms of excessive sweating.",Symptom
644,Pitta,"[14-15] 
Contra-Indications for fomentation: Swedaha Anarha / Aswedya 
किायमयतनत्यानां गसभघण्या रक्तवपवत्तनाम्|  
वपवत्तनां साततसाराणां रूिाणां मधुमेहहनाम्||१६||  
विदनधभ्रष्ब्रध्नानां वििमयविकाररणाम्|  
श्रावतानां नष्सञ्ज्ञानां स्थूलानां वपत्तमेहहनाम्||१७||  
तृष्यतां िुगधतानां  च क्रुद्धानां शोचतामवप|  
कामल्युदररणां चैि ितानामार्ढयरोगगणाम्||१८||  
दुबघलाततविशुष्काणामुपिीणौजसां तथा|  
सभिक् तैसमररकाणां च न स्िेदमितारयेत्||१९|| 
kaṣāyamadyanityānāṃ garbhiṇyā raktapittinām|  
pittināṃ sātisārāṇāṃ rūkṣāṇāṃ madhumehinām||16||  
vidagdhabhraṣṭabradhnānāṃ viṣamadyavikāriṇām|  
śrāntānāṃ naṣṭasañjñānāṃ sthūlānāṃ pittamehinām||17||  
tṛṣyatāṃ kṣudhitānāṃ  ca kruddhānāṃ śocatāmapi|  
kāmalyudariṇāṃ caiva kṣatānāmāḍhyarogiṇām||18||  
durbalātiviśuṣkāṇāmupakṣīṇaujasāṃ tathā|  
bhiṣak taimirikāṇāṃ ca na svedamavatārayet||19|| 
Contra-Indications for fomentation: Swedaha Anarha / Aswedya 
It is contra indicated in 
Kashaya Madya Nitya – those who take excessive astringent foods and Dr JV Hebbar – easyayurveda.com – Charaka Samhita Sutrasthana Made Easy 
Page 533 
 
alcohol on a regular basis, 
Garbhini – the pregnant woman, 
Raktapitta – bleeding disorders, such as menorrhagia, nasal bleeding etc.",Symptom
645,Rakta,"[14-15] 
Contra-Indications for fomentation: Swedaha Anarha / Aswedya 
किायमयतनत्यानां गसभघण्या रक्तवपवत्तनाम्|  
वपवत्तनां साततसाराणां रूिाणां मधुमेहहनाम्||१६||  
विदनधभ्रष्ब्रध्नानां वििमयविकाररणाम्|  
श्रावतानां नष्सञ्ज्ञानां स्थूलानां वपत्तमेहहनाम्||१७||  
तृष्यतां िुगधतानां  च क्रुद्धानां शोचतामवप|  
कामल्युदररणां चैि ितानामार्ढयरोगगणाम्||१८||  
दुबघलाततविशुष्काणामुपिीणौजसां तथा|  
सभिक् तैसमररकाणां च न स्िेदमितारयेत्||१९|| 
kaṣāyamadyanityānāṃ garbhiṇyā raktapittinām|  
pittināṃ sātisārāṇāṃ rūkṣāṇāṃ madhumehinām||16||  
vidagdhabhraṣṭabradhnānāṃ viṣamadyavikāriṇām|  
śrāntānāṃ naṣṭasañjñānāṃ sthūlānāṃ pittamehinām||17||  
tṛṣyatāṃ kṣudhitānāṃ  ca kruddhānāṃ śocatāmapi|  
kāmalyudariṇāṃ caiva kṣatānāmāḍhyarogiṇām||18||  
durbalātiviśuṣkāṇāmupakṣīṇaujasāṃ tathā|  
bhiṣak taimirikāṇāṃ ca na svedamavatārayet||19|| 
Contra-Indications for fomentation: Swedaha Anarha / Aswedya 
It is contra indicated in 
Kashaya Madya Nitya – those who take excessive astringent foods and Dr JV Hebbar – easyayurveda.com – Charaka Samhita Sutrasthana Made Easy 
Page 533 
 
alcohol on a regular basis, 
Garbhini – the pregnant woman, 
Raktapitta – bleeding disorders, such as menorrhagia, nasal bleeding etc.",Ingredient
646,Pitta,"People with Pitta body type 
diarrhea, people with excessive dryness, 
chronic urinary disorders, diabetes, 
Vidagdha-Bhrasta-Bradhna – inflammation and prolapsed of the rectum, 
burn injuries,  toxic conditions, Alcoholism; 
Those who are fatigued, unconscious, 
very obese people, who are very thirsty, hungry, 
who are suffering from anger and anxiety, 
those suffering from jaundice, abdominal  diseases, Vatarakta (gout), 
Timira (fainting); 
those who are weak and dried up and whose Ojas has been reduced.",Symptom
647,Vata,"People with Pitta body type 
diarrhea, people with excessive dryness, 
chronic urinary disorders, diabetes, 
Vidagdha-Bhrasta-Bradhna – inflammation and prolapsed of the rectum, 
burn injuries,  toxic conditions, Alcoholism; 
Those who are fatigued, unconscious, 
very obese people, who are very thirsty, hungry, 
who are suffering from anger and anxiety, 
those suffering from jaundice, abdominal  diseases, Vatarakta (gout), 
Timira (fainting); 
those who are weak and dried up and whose Ojas has been reduced.",Symptom
648,Diabetes,"People with Pitta body type 
diarrhea, people with excessive dryness, 
chronic urinary disorders, diabetes, 
Vidagdha-Bhrasta-Bradhna – inflammation and prolapsed of the rectum, 
burn injuries,  toxic conditions, Alcoholism; 
Those who are fatigued, unconscious, 
very obese people, who are very thirsty, hungry, 
who are suffering from anger and anxiety, 
those suffering from jaundice, abdominal  diseases, Vatarakta (gout), 
Timira (fainting); 
those who are weak and dried up and whose Ojas has been reduced.",Disease
649,Rakta,"People with Pitta body type 
diarrhea, people with excessive dryness, 
chronic urinary disorders, diabetes, 
Vidagdha-Bhrasta-Bradhna – inflammation and prolapsed of the rectum, 
burn injuries,  toxic conditions, Alcoholism; 
Those who are fatigued, unconscious, 
very obese people, who are very thirsty, hungry, 
who are suffering from anger and anxiety, 
those suffering from jaundice, abdominal  diseases, Vatarakta (gout), 
Timira (fainting); 
those who are weak and dried up and whose Ojas has been reduced.",Ingredient
